Diet Type,Calories,Protein,Calcium,Fats,Breakfast,Lunch,Dinner
Vegetarian,2362,138,688,51,Paneer Paratha,Dal Rice,Matar Paneer
Non-Vegetarian,3019,145,979,74,Chicken Sausage,Fish Fry with Roti,Mutton Rogan Josh
Vegetarian,1371,115,726,92,Idli Sambhar,Rajma Chawal,Dum Aloo
Vegetarian,1525,93,771,40,Vegetable Poha,Paneer Butter Masala with Roti,Dum Aloo
Vegetarian,3078,181,1045,74,Oats with Fruits,Dal Rice,Palak Paneer with Roti
Vegetarian,2730,51,718,70,Oats with Fruits,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Non-Vegetarian,2549,61,707,98,Egg Omelette,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,1394,182,701,73,Scrambled Eggs,Egg Curry with Rice,Tandoori Fish
Non-Vegetarian,1642,120,977,40,Chicken Sausage,Fish Fry with Roti,Tandoori Fish
Non-Vegetarian,2086,71,974,38,Chicken Sausage,Prawn Masala,Tandoori Fish
Vegetarian,1556,174,857,70,Paneer Paratha,Rajma Chawal,Matar Paneer
Non-Vegetarian,2674,168,717,35,Egg Bhurji,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,3451,93,844,87,Egg Omelette,Chicken Curry with Rice,Butter Chicken
Vegetarian,2711,149,794,33,Vegetable Poha,Rajma Chawal,Mixed Vegetable Curry
Vegetarian,3456,102,891,90,Paneer Paratha,Chole Bhature,Dum Aloo
Vegetarian,2359,63,626,51,Vegetable Poha,Vegetable Biryani,Khichdi
Non-Vegetarian,2239,71,1026,59,Scrambled Eggs,Egg Curry with Rice,Grilled Chicken
Vegetarian,2610,181,616,72,Aloo Paratha,Vegetable Biryani,Khichdi
Non-Vegetarian,3486,185,539,41,Scrambled Eggs,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,1514,80,836,39,Scrambled Eggs,Mutton Biryani,Grilled Chicken
Non-Vegetarian,1956,97,1107,56,Scrambled Eggs,Chicken Curry with Rice,Chicken Tikka Masala
Non-Vegetarian,1628,92,1200,55,Chicken Sandwich,Prawn Masala,Tandoori Fish
Non-Vegetarian,2333,189,668,22,Scrambled Eggs,Chicken Curry with Rice,Grilled Chicken
Non-Vegetarian,2759,123,531,90,Chicken Sandwich,Egg Curry with Rice,Butter Chicken
Vegetarian,1587,168,995,65,Vegetable Poha,Chole Bhature,Palak Paneer with Roti
Non-Vegetarian,3345,97,983,63,Egg Omelette,Chicken Curry with Rice,Grilled Chicken
Vegetarian,1463,196,1088,21,Vegetable Poha,Rajma Chawal,Dum Aloo
Vegetarian,2959,169,1008,25,Paneer Paratha,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,1614,177,623,71,Chicken Sandwich,Prawn Masala,Tandoori Fish
Non-Vegetarian,1754,194,1115,94,Chicken Sausage,Prawn Masala,Tandoori Fish
Vegetarian,2893,169,884,21,Vegetable Poha,Vegetable Biryani,Palak Paneer with Roti
Non-Vegetarian,1750,77,1118,85,Chicken Sandwich,Mutton Biryani,Tandoori Fish
Non-Vegetarian,3162,89,925,91,Egg Omelette,Chicken Curry with Rice,Tandoori Fish
Non-Vegetarian,1639,63,533,73,Chicken Sausage,Fish Fry with Roti,Butter Chicken
Vegetarian,2191,100,528,51,Oats with Fruits,Paneer Butter Masala with Roti,Khichdi
Non-Vegetarian,2183,96,582,84,Egg Bhurji,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,1325,199,924,31,Egg Omelette,Mutton Biryani,Butter Chicken
Vegetarian,3393,160,660,58,Vegetable Poha,Chole Bhature,Dum Aloo
Vegetarian,3077,138,484,21,Vegetable Poha,Rajma Chawal,Mixed Vegetable Curry
Non-Vegetarian,1443,95,471,25,Chicken Sausage,Prawn Masala,Mutton Rogan Josh
Vegetarian,3217,113,1172,94,Oats with Fruits,Vegetable Biryani,Dum Aloo
Vegetarian,2885,193,542,96,Aloo Paratha,Chole Bhature,Khichdi
Non-Vegetarian,3035,72,739,79,Egg Bhurji,Prawn Masala,Grilled Chicken
Non-Vegetarian,1389,108,845,68,Egg Bhurji,Fish Fry with Roti,Tandoori Fish
Non-Vegetarian,3190,157,971,28,Chicken Sandwich,Mutton Biryani,Chicken Tikka Masala
Vegetarian,1590,160,528,52,Oats with Fruits,Dal Rice,Palak Paneer with Roti
Vegetarian,3110,137,1148,81,Vegetable Poha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,2915,51,1043,25,Vegetable Poha,Chole Bhature,Palak Paneer with Roti
Non-Vegetarian,2897,145,1038,56,Egg Omelette,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,2371,141,807,50,Egg Omelette,Prawn Masala,Grilled Chicken
Non-Vegetarian,2200,92,664,57,Egg Bhurji,Fish Fry with Roti,Mutton Rogan Josh
Vegetarian,1650,113,1083,48,Oats with Fruits,Rajma Chawal,Matar Paneer
Vegetarian,2982,68,795,83,Aloo Paratha,Dal Rice,Dum Aloo
Non-Vegetarian,2800,60,1023,83,Scrambled Eggs,Prawn Masala,Chicken Tikka Masala
Vegetarian,1713,192,736,71,Aloo Paratha,Vegetable Biryani,Khichdi
Vegetarian,1497,136,430,34,Aloo Paratha,Rajma Chawal,Matar Paneer
Vegetarian,3427,110,665,31,Vegetable Poha,Chole Bhature,Khichdi
Vegetarian,3323,125,437,74,Idli Sambhar,Vegetable Biryani,Matar Paneer
Non-Vegetarian,1418,141,473,36,Chicken Sausage,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,2402,157,529,39,Scrambled Eggs,Chicken Curry with Rice,Mutton Rogan Josh
Vegetarian,2569,154,649,82,Idli Sambhar,Dal Rice,Palak Paneer with Roti
Vegetarian,2155,66,630,50,Aloo Paratha,Dal Rice,Dum Aloo
Vegetarian,2994,151,961,79,Paneer Paratha,Chole Bhature,Palak Paneer with Roti
Vegetarian,2933,94,618,52,Paneer Paratha,Paneer Butter Masala with Roti,Dum Aloo
Non-Vegetarian,1416,75,1031,55,Egg Omelette,Mutton Biryani,Tandoori Fish
Non-Vegetarian,2363,69,843,24,Scrambled Eggs,Fish Fry with Roti,Butter Chicken
Non-Vegetarian,1823,160,983,37,Chicken Sandwich,Egg Curry with Rice,Chicken Tikka Masala
Non-Vegetarian,1830,125,896,44,Scrambled Eggs,Mutton Biryani,Mutton Rogan Josh
Vegetarian,1641,184,716,68,Oats with Fruits,Chole Bhature,Dum Aloo
Non-Vegetarian,2966,174,793,54,Scrambled Eggs,Chicken Curry with Rice,Tandoori Fish
Non-Vegetarian,1585,90,870,41,Egg Bhurji,Fish Fry with Roti,Mutton Rogan Josh
Non-Vegetarian,1340,87,743,51,Chicken Sausage,Fish Fry with Roti,Grilled Chicken
Vegetarian,3158,193,907,62,Oats with Fruits,Chole Bhature,Palak Paneer with Roti
Vegetarian,3478,199,851,42,Vegetable Poha,Dal Rice,Mixed Vegetable Curry
Vegetarian,3285,105,977,92,Oats with Fruits,Paneer Butter Masala with Roti,Khichdi
Vegetarian,1535,67,838,33,Vegetable Poha,Vegetable Biryani,Matar Paneer
Vegetarian,3410,121,1154,43,Paneer Paratha,Paneer Butter Masala with Roti,Matar Paneer
Non-Vegetarian,1549,141,657,31,Scrambled Eggs,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,2992,120,1080,93,Oats with Fruits,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,2062,114,632,54,Chicken Sandwich,Prawn Masala,Butter Chicken
Vegetarian,2810,186,724,25,Idli Sambhar,Paneer Butter Masala with Roti,Khichdi
Non-Vegetarian,2371,57,625,38,Scrambled Eggs,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,2729,79,989,45,Egg Bhurji,Fish Fry with Roti,Chicken Tikka Masala
Vegetarian,3403,152,860,89,Oats with Fruits,Vegetable Biryani,Mixed Vegetable Curry
Vegetarian,3335,94,924,97,Aloo Paratha,Dal Rice,Mixed Vegetable Curry
Vegetarian,2575,80,578,76,Idli Sambhar,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,3280,177,1020,87,Oats with Fruits,Chole Bhature,Matar Paneer
Vegetarian,2999,190,825,61,Oats with Fruits,Rajma Chawal,Khichdi
Vegetarian,2767,162,820,53,Oats with Fruits,Dal Rice,Khichdi
Vegetarian,1662,170,596,87,Paneer Paratha,Rajma Chawal,Matar Paneer
Vegetarian,2415,116,1079,94,Idli Sambhar,Vegetable Biryani,Dum Aloo
Non-Vegetarian,2210,86,680,65,Scrambled Eggs,Mutton Biryani,Grilled Chicken
Non-Vegetarian,2822,142,929,69,Chicken Sausage,Prawn Masala,Mutton Rogan Josh
Vegetarian,1931,90,584,41,Vegetable Poha,Dal Rice,Dum Aloo
Non-Vegetarian,2665,189,746,86,Egg Omelette,Prawn Masala,Butter Chicken
Vegetarian,2794,170,411,96,Paneer Paratha,Vegetable Biryani,Mixed Vegetable Curry
Vegetarian,2281,191,1045,51,Aloo Paratha,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Vegetarian,3114,87,768,87,Idli Sambhar,Chole Bhature,Palak Paneer with Roti
Vegetarian,2015,116,724,68,Oats with Fruits,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,1382,105,862,42,Oats with Fruits,Vegetable Biryani,Matar Paneer
Vegetarian,1623,154,1149,50,Idli Sambhar,Chole Bhature,Dum Aloo
Vegetarian,3128,157,453,28,Aloo Paratha,Rajma Chawal,Khichdi
Vegetarian,2822,175,400,49,Vegetable Poha,Paneer Butter Masala with Roti,Khichdi
Non-Vegetarian,3096,198,800,58,Egg Omelette,Mutton Biryani,Grilled Chicken
Non-Vegetarian,1779,177,1192,30,Scrambled Eggs,Mutton Biryani,Tandoori Fish
Vegetarian,1474,152,686,39,Idli Sambhar,Paneer Butter Masala with Roti,Dum Aloo
Vegetarian,2629,70,618,93,Aloo Paratha,Chole Bhature,Mixed Vegetable Curry
Non-Vegetarian,1956,161,982,94,Egg Omelette,Chicken Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,2771,125,662,77,Chicken Sausage,Fish Fry with Roti,Mutton Rogan Josh
Vegetarian,2570,107,824,25,Idli Sambhar,Rajma Chawal,Khichdi
Non-Vegetarian,3413,128,629,42,Chicken Sandwich,Mutton Biryani,Grilled Chicken
Vegetarian,1473,111,516,28,Aloo Paratha,Rajma Chawal,Matar Paneer
Vegetarian,2858,190,527,78,Aloo Paratha,Paneer Butter Masala with Roti,Khichdi
Vegetarian,1386,80,1033,97,Vegetable Poha,Rajma Chawal,Palak Paneer with Roti
Vegetarian,3060,143,497,23,Paneer Paratha,Vegetable Biryani,Matar Paneer
Non-Vegetarian,1572,158,999,37,Egg Bhurji,Chicken Curry with Rice,Tandoori Fish
Non-Vegetarian,2254,137,976,35,Chicken Sandwich,Egg Curry with Rice,Chicken Tikka Masala
Non-Vegetarian,3262,95,952,84,Egg Bhurji,Egg Curry with Rice,Chicken Tikka Masala
Vegetarian,1677,171,571,68,Oats with Fruits,Rajma Chawal,Mixed Vegetable Curry
Vegetarian,1681,124,806,94,Idli Sambhar,Chole Bhature,Palak Paneer with Roti
Vegetarian,2029,173,522,58,Idli Sambhar,Dal Rice,Mixed Vegetable Curry
Non-Vegetarian,1323,147,1004,90,Scrambled Eggs,Fish Fry with Roti,Chicken Tikka Masala
Non-Vegetarian,2259,180,651,38,Egg Bhurji,Egg Curry with Rice,Tandoori Fish
Vegetarian,2631,131,541,20,Idli Sambhar,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,2911,157,612,58,Vegetable Poha,Dal Rice,Mixed Vegetable Curry
Non-Vegetarian,1944,83,888,97,Chicken Sandwich,Fish Fry with Roti,Tandoori Fish
Vegetarian,1375,89,709,21,Vegetable Poha,Vegetable Biryani,Palak Paneer with Roti
Non-Vegetarian,2436,197,660,30,Egg Omelette,Fish Fry with Roti,Grilled Chicken
Non-Vegetarian,1382,53,994,76,Egg Omelette,Fish Fry with Roti,Chicken Tikka Masala
Vegetarian,3370,125,675,39,Vegetable Poha,Vegetable Biryani,Mixed Vegetable Curry
Non-Vegetarian,3270,116,576,98,Chicken Sandwich,Egg Curry with Rice,Chicken Tikka Masala
Non-Vegetarian,3431,137,732,58,Chicken Sandwich,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,2057,164,697,82,Egg Bhurji,Egg Curry with Rice,Butter Chicken
Vegetarian,2004,71,693,20,Aloo Paratha,Dal Rice,Khichdi
Non-Vegetarian,1767,75,944,65,Egg Bhurji,Mutton Biryani,Grilled Chicken
Vegetarian,3093,191,970,54,Idli Sambhar,Vegetable Biryani,Matar Paneer
Non-Vegetarian,1244,174,787,23,Scrambled Eggs,Egg Curry with Rice,Grilled Chicken
Vegetarian,1791,76,438,73,Paneer Paratha,Chole Bhature,Palak Paneer with Roti
Vegetarian,2242,166,1022,91,Idli Sambhar,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,2799,76,698,57,Paneer Paratha,Chole Bhature,Mixed Vegetable Curry
Vegetarian,2566,116,839,80,Vegetable Poha,Rajma Chawal,Khichdi
Non-Vegetarian,3490,166,1194,74,Scrambled Eggs,Fish Fry with Roti,Butter Chicken
Non-Vegetarian,3402,94,704,58,Scrambled Eggs,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,2807,174,858,20,Egg Omelette,Egg Curry with Rice,Tandoori Fish
Non-Vegetarian,3206,161,1080,64,Chicken Sandwich,Egg Curry with Rice,Butter Chicken
Vegetarian,2856,155,1055,20,Aloo Paratha,Vegetable Biryani,Khichdi
Vegetarian,2080,138,1109,55,Oats with Fruits,Paneer Butter Masala with Roti,Khichdi
Non-Vegetarian,2456,62,511,53,Chicken Sandwich,Egg Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,2952,104,829,70,Egg Bhurji,Chicken Curry with Rice,Tandoori Fish
Vegetarian,3470,177,703,42,Oats with Fruits,Chole Bhature,Khichdi
Non-Vegetarian,1900,102,472,56,Scrambled Eggs,Chicken Curry with Rice,Grilled Chicken
Non-Vegetarian,2059,110,756,61,Scrambled Eggs,Mutton Biryani,Mutton Rogan Josh
Vegetarian,2861,159,979,94,Oats with Fruits,Vegetable Biryani,Dum Aloo
Non-Vegetarian,1846,170,458,28,Scrambled Eggs,Prawn Masala,Butter Chicken
Vegetarian,2716,155,780,21,Paneer Paratha,Chole Bhature,Dum Aloo
Non-Vegetarian,1790,199,858,70,Egg Bhurji,Egg Curry with Rice,Butter Chicken
Vegetarian,3077,187,657,55,Vegetable Poha,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,1998,161,679,71,Idli Sambhar,Dal Rice,Mixed Vegetable Curry
Vegetarian,2190,186,544,63,Paneer Paratha,Vegetable Biryani,Dum Aloo
Vegetarian,2547,184,870,98,Idli Sambhar,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,1281,89,490,47,Chicken Sausage,Prawn Masala,Chicken Tikka Masala
Vegetarian,1749,144,656,73,Oats with Fruits,Dal Rice,Khichdi
Vegetarian,3352,150,693,76,Idli Sambhar,Vegetable Biryani,Dum Aloo
Vegetarian,2585,166,849,77,Idli Sambhar,Chole Bhature,Dum Aloo
Non-Vegetarian,3392,103,676,56,Scrambled Eggs,Egg Curry with Rice,Grilled Chicken
Vegetarian,1500,135,637,26,Aloo Paratha,Rajma Chawal,Khichdi
Vegetarian,3113,172,1101,84,Paneer Paratha,Rajma Chawal,Mixed Vegetable Curry
Non-Vegetarian,2006,200,967,75,Egg Bhurji,Fish Fry with Roti,Butter Chicken
Vegetarian,1604,136,573,90,Oats with Fruits,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,3208,80,704,75,Vegetable Poha,Chole Bhature,Matar Paneer
Non-Vegetarian,1594,100,407,34,Egg Omelette,Chicken Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,2384,81,1018,48,Chicken Sandwich,Fish Fry with Roti,Grilled Chicken
Vegetarian,1922,98,640,86,Paneer Paratha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,3165,199,857,21,Aloo Paratha,Chole Bhature,Khichdi
Vegetarian,1208,87,782,70,Idli Sambhar,Chole Bhature,Khichdi
Vegetarian,2884,135,402,30,Aloo Paratha,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,3023,117,1141,36,Idli Sambhar,Vegetable Biryani,Mixed Vegetable Curry
Non-Vegetarian,1404,135,810,29,Egg Omelette,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,2480,113,840,92,Aloo Paratha,Rajma Chawal,Dum Aloo
Non-Vegetarian,3047,143,811,28,Chicken Sandwich,Mutton Biryani,Tandoori Fish
Vegetarian,1750,62,759,85,Oats with Fruits,Paneer Butter Masala with Roti,Palak Paneer with Roti
Non-Vegetarian,1587,84,1164,22,Chicken Sandwich,Egg Curry with Rice,Chicken Tikka Masala
Vegetarian,2216,71,896,54,Aloo Paratha,Vegetable Biryani,Palak Paneer with Roti
Vegetarian,1295,78,451,31,Paneer Paratha,Dal Rice,Matar Paneer
Vegetarian,1702,161,1097,20,Oats with Fruits,Rajma Chawal,Khichdi
Vegetarian,2295,122,1162,33,Paneer Paratha,Paneer Butter Masala with Roti,Dum Aloo
Vegetarian,1693,163,1077,45,Paneer Paratha,Vegetable Biryani,Matar Paneer
Non-Vegetarian,3031,117,841,89,Scrambled Eggs,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,1728,62,644,90,Chicken Sausage,Fish Fry with Roti,Grilled Chicken
Non-Vegetarian,1749,156,430,20,Chicken Sausage,Mutton Biryani,Mutton Rogan Josh
Non-Vegetarian,2221,129,702,85,Scrambled Eggs,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,3004,63,647,40,Chicken Sausage,Chicken Curry with Rice,Butter Chicken
Vegetarian,1329,82,646,51,Aloo Paratha,Chole Bhature,Matar Paneer
Vegetarian,2359,168,567,60,Aloo Paratha,Vegetable Biryani,Palak Paneer with Roti
Non-Vegetarian,2811,189,1057,77,Egg Bhurji,Chicken Curry with Rice,Grilled Chicken
Non-Vegetarian,1973,130,472,55,Egg Omelette,Egg Curry with Rice,Chicken Tikka Masala
Vegetarian,2109,138,508,98,Vegetable Poha,Vegetable Biryani,Mixed Vegetable Curry
Non-Vegetarian,2305,97,816,21,Scrambled Eggs,Fish Fry with Roti,Mutton Rogan Josh
Non-Vegetarian,2702,176,1115,68,Chicken Sandwich,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,1737,83,972,87,Scrambled Eggs,Prawn Masala,Tandoori Fish
Non-Vegetarian,1361,200,644,44,Egg Omelette,Prawn Masala,Chicken Tikka Masala
Vegetarian,1307,187,1147,85,Idli Sambhar,Paneer Butter Masala with Roti,Palak Paneer with Roti
Non-Vegetarian,3207,73,658,70,Egg Omelette,Prawn Masala,Chicken Tikka Masala
Vegetarian,1964,185,821,75,Idli Sambhar,Rajma Chawal,Dum Aloo
Non-Vegetarian,1959,58,824,60,Scrambled Eggs,Chicken Curry with Rice,Tandoori Fish
Vegetarian,2402,150,511,29,Paneer Paratha,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Non-Vegetarian,3399,161,950,77,Egg Omelette,Mutton Biryani,Mutton Rogan Josh
Vegetarian,2212,102,1014,39,Oats with Fruits,Dal Rice,Khichdi
Non-Vegetarian,1871,54,1158,86,Egg Omelette,Fish Fry with Roti,Grilled Chicken
Non-Vegetarian,3272,63,586,22,Egg Omelette,Egg Curry with Rice,Butter Chicken
Vegetarian,1553,139,900,70,Aloo Paratha,Paneer Butter Masala with Roti,Khichdi
Non-Vegetarian,2345,177,1049,57,Egg Bhurji,Prawn Masala,Butter Chicken
Vegetarian,2981,170,702,53,Idli Sambhar,Chole Bhature,Mixed Vegetable Curry
Non-Vegetarian,1411,105,843,69,Egg Omelette,Prawn Masala,Grilled Chicken
Vegetarian,3290,54,892,53,Vegetable Poha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,1792,130,997,62,Aloo Paratha,Vegetable Biryani,Mixed Vegetable Curry
Non-Vegetarian,3393,144,412,39,Chicken Sandwich,Mutton Biryani,Grilled Chicken
Non-Vegetarian,1866,69,497,27,Egg Bhurji,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,3481,175,475,23,Paneer Paratha,Dal Rice,Matar Paneer
Vegetarian,1595,75,911,28,Vegetable Poha,Dal Rice,Palak Paneer with Roti
Vegetarian,1629,172,527,49,Vegetable Poha,Vegetable Biryani,Matar Paneer
Vegetarian,2541,160,434,87,Vegetable Poha,Paneer Butter Masala with Roti,Matar Paneer
Non-Vegetarian,1319,137,945,58,Egg Omelette,Fish Fry with Roti,Chicken Tikka Masala
Non-Vegetarian,3051,173,1085,37,Chicken Sandwich,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,1515,166,732,77,Chicken Sausage,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,1487,166,446,54,Oats with Fruits,Vegetable Biryani,Mixed Vegetable Curry
Vegetarian,2439,180,1056,78,Vegetable Poha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Non-Vegetarian,1557,52,902,97,Chicken Sandwich,Egg Curry with Rice,Grilled Chicken
Non-Vegetarian,1789,100,1130,72,Chicken Sausage,Fish Fry with Roti,Chicken Tikka Masala
Vegetarian,2495,99,944,45,Paneer Paratha,Rajma Chawal,Matar Paneer
Vegetarian,3221,182,655,49,Aloo Paratha,Rajma Chawal,Dum Aloo
Non-Vegetarian,2858,86,414,45,Chicken Sandwich,Fish Fry with Roti,Grilled Chicken
Non-Vegetarian,3466,163,626,31,Chicken Sausage,Mutton Biryani,Mutton Rogan Josh
Non-Vegetarian,2599,78,673,86,Chicken Sandwich,Prawn Masala,Butter Chicken
Vegetarian,3315,120,977,38,Vegetable Poha,Dal Rice,Dum Aloo
Non-Vegetarian,1431,68,737,100,Scrambled Eggs,Chicken Curry with Rice,Mutton Rogan Josh
Vegetarian,2768,56,524,70,Paneer Paratha,Dal Rice,Khichdi
Vegetarian,1274,107,493,88,Vegetable Poha,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,3381,72,882,45,Chicken Sandwich,Chicken Curry with Rice,Grilled Chicken
Vegetarian,1764,196,589,20,Vegetable Poha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,3479,132,930,100,Aloo Paratha,Chole Bhature,Mixed Vegetable Curry
Vegetarian,2428,67,978,93,Paneer Paratha,Rajma Chawal,Khichdi
Vegetarian,1985,151,1044,22,Aloo Paratha,Paneer Butter Masala with Roti,Khichdi
Vegetarian,1775,165,700,75,Aloo Paratha,Dal Rice,Dum Aloo
Non-Vegetarian,2428,184,867,21,Egg Bhurji,Prawn Masala,Butter Chicken
Vegetarian,1389,166,1127,41,Paneer Paratha,Vegetable Biryani,Khichdi
Vegetarian,2614,130,1172,77,Vegetable Poha,Paneer Butter Masala with Roti,Matar Paneer
Non-Vegetarian,3012,147,1000,63,Scrambled Eggs,Chicken Curry with Rice,Tandoori Fish
Vegetarian,2446,167,711,89,Paneer Paratha,Dal Rice,Khichdi
Vegetarian,2828,106,722,51,Aloo Paratha,Rajma Chawal,Mixed Vegetable Curry
Non-Vegetarian,2054,188,1026,91,Egg Omelette,Egg Curry with Rice,Chicken Tikka Masala
Non-Vegetarian,2865,199,1034,47,Chicken Sandwich,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,1441,164,823,44,Egg Bhurji,Egg Curry with Rice,Tandoori Fish
Non-Vegetarian,1691,114,1195,21,Chicken Sandwich,Prawn Masala,Chicken Tikka Masala
Vegetarian,1370,80,710,65,Idli Sambhar,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,2841,197,676,99,Idli Sambhar,Vegetable Biryani,Matar Paneer
Non-Vegetarian,2101,96,495,71,Egg Omelette,Egg Curry with Rice,Chicken Tikka Masala
Non-Vegetarian,1592,115,1132,44,Chicken Sausage,Chicken Curry with Rice,Mutton Rogan Josh
Vegetarian,1349,121,953,100,Aloo Paratha,Vegetable Biryani,Matar Paneer
Vegetarian,1612,137,969,66,Idli Sambhar,Chole Bhature,Matar Paneer
Vegetarian,2217,143,1065,38,Vegetable Poha,Vegetable Biryani,Khichdi
Non-Vegetarian,3175,160,760,29,Egg Bhurji,Chicken Curry with Rice,Grilled Chicken
Non-Vegetarian,3265,141,1107,58,Chicken Sandwich,Chicken Curry with Rice,Mutton Rogan Josh
Vegetarian,3070,188,599,75,Aloo Paratha,Vegetable Biryani,Dum Aloo
Vegetarian,2323,137,581,38,Vegetable Poha,Rajma Chawal,Mixed Vegetable Curry
Non-Vegetarian,2104,56,918,42,Egg Omelette,Fish Fry with Roti,Chicken Tikka Masala
Vegetarian,3388,177,553,98,Aloo Paratha,Rajma Chawal,Palak Paneer with Roti
Vegetarian,2606,192,984,42,Oats with Fruits,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,2774,152,1139,95,Oats with Fruits,Rajma Chawal,Palak Paneer with Roti
Non-Vegetarian,1624,152,450,72,Scrambled Eggs,Prawn Masala,Tandoori Fish
Vegetarian,1693,71,441,48,Oats with Fruits,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,1720,198,1176,54,Oats with Fruits,Paneer Butter Masala with Roti,Dum Aloo
Vegetarian,2051,84,520,48,Vegetable Poha,Dal Rice,Khichdi
Vegetarian,1516,141,469,65,Paneer Paratha,Vegetable Biryani,Khichdi
Non-Vegetarian,2316,79,412,49,Scrambled Eggs,Mutton Biryani,Chicken Tikka Masala
Vegetarian,3226,141,802,38,Idli Sambhar,Dal Rice,Palak Paneer with Roti
Vegetarian,3233,176,841,64,Idli Sambhar,Vegetable Biryani,Mixed Vegetable Curry
